Job Title,Company,Location,Description,Key Responsibilities,Skills Required,Preferred Experience,Keywords
Director of Customer Support,OrthoTexas Physicians & Surgeons,"Seattle, WA",Drive customer satisfaction and retention efforts. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Implement automation tools for workflow optimization., Enhance operational efficiencies using data analytics.","Process Improvement, KPI Management, Data Visualization, CX Strategy, Predictive Analytics","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, Predictive Analytics, Data Visualization"
Customer Experience Operations Manager,Galliant Care,"Austin, TX",Mentor and train teams in customer success best practices. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Drive customer satisfaction and retention efforts., Lead and oversee customer success initiatives.","CX Strategy, AI & Machine Learning, Customer Success, Process Improvement, KPI Management","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, Data Visualization, CRM Platforms (Salesforce, Zendesk)"
Infusion Customer Service Manager,"Vizient, Inc.",Remote,Mentor and train teams in customer success best practices. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Develop strategic roadmaps for customer experience improvement., Develop and implement AI-driven customer engagement strategies.","Team Leadership, CRM Platforms (Salesforce, Zendesk), Predictive Analytics, AI & Machine Learning, Data Visualization","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, Data Visualization, Customer Success"
Patient Access Manager,Behavioral Health Group,"Dallas, TX",Implement automation tools for workflow optimization. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Drive customer satisfaction and retention efforts., Oversee call center operations and optimize support channels.","AI & Machine Learning, CX Strategy, Predictive Analytics, CRM Platforms (Salesforce, Zendesk), Process Improvement","8+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, CRM Platforms (Salesforce, Zendesk), Customer Success"
Senior AI Solutions Partner,CommandLink,"San Francisco, CA",Develop strategic roadmaps for customer experience improvement. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Develop strategic roadmaps for customer experience improvement., Lead and oversee customer success initiatives.","Data Visualization, AI & Machine Learning, Team Leadership, CX Strategy, CRM Platforms (Salesforce, Zendesk)","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, KPI Management, Team Leadership"
Customer Success Manager,CommandLink,"Dallas, TX",Develop and implement AI-driven customer engagement strategies. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Oversee call center operations and optimize support channels., Collaborate with cross-functional teams to improve customer experience.","Operational Efficiency, Predictive Analytics, KPI Management, AI & Machine Learning, Data Visualization","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, CRM Platforms (Salesforce, Zendesk), AI & Machine Learning"
"VP, Customer Success",Amazon Web Services,"Austin, TX",Mentor and train teams in customer success best practices. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Collaborate with cross-functional teams to improve customer experience., Lead and oversee customer success initiatives.","Operational Efficiency, Process Improvement, Team Leadership, AI & Machine Learning, Predictive Analytics","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Operational Efficiency, Team Leadership"
Patient Access Manager,MTM LLC,"Seattle, WA",Drive customer satisfaction and retention efforts. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Enhance operational efficiencies using data analytics., Drive customer satisfaction and retention efforts.","KPI Management, Data Visualization, Predictive Analytics, Customer Success, AI & Machine Learning","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, Customer Success, CX Strategy"
Infusion Customer Service Manager,OrthoTexas Physicians & Surgeons,Remote,Lead and oversee customer success initiatives. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Drive customer satisfaction and retention efforts., Mentor and train teams in customer success best practices.","Process Improvement, AI & Machine Learning, Operational Efficiency, CX Strategy, CRM Platforms (Salesforce, Zendesk)","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Customer Success, AI & Machine Learning"
Director of Customer Support,Qlik,"New York, NY",Mentor and train teams in customer success best practices. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies.","AI & Machine Learning, Customer Success, CRM Platforms (Salesforce, Zendesk), Operational Efficiency, Data Visualization","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, CRM Platforms (Salesforce, Zendesk), Data Visualization"
"VP, Customer Success",Protect AI,"Chicago, IL",Lead and oversee customer success initiatives. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Oversee call center operations and optimize support channels., Mentor and train teams in customer success best practices.","CRM Platforms (Salesforce, Zendesk), KPI Management, Process Improvement, AI & Machine Learning, CX Strategy","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Predictive Analytics, Team Leadership"
Customer Success Manager,"Vizient, Inc.","San Francisco, CA",Develop and implement AI-driven customer engagement strategies. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Utilize machine learning and predictive analytics to enhance customer insights., Collaborate with cross-functional teams to improve customer experience.","Operational Efficiency, KPI Management, CRM Platforms (Salesforce, Zendesk), AI & Machine Learning, Process Improvement","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Process Improvement, CX Strategy"
Director of Customer Support,Stride Care,"Chicago, IL","Implement automation tools for workflow optimization. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Implement automation tools for workflow optimization., Develop strategic roadmaps for customer experience improvement., Utilize machine learning and predictive analytics to enhance customer insights.","CX Strategy, Team Leadership, CRM Platforms (Salesforce, Zendesk), Data Visualization, KPI Management","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, Process Improvement, AI & Machine Learning"
Infusion Customer Service Manager,Behavioral Health Group,"Seattle, WA","Enhance operational efficiencies using data analytics. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Develop strategic roadmaps for customer experience improvement., Collaborate with cross-functional teams to improve customer experience., Mentor and train teams in customer success best practices.","Team Leadership, Predictive Analytics, CX Strategy, Operational Efficiency, AI & Machine Learning","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Data Visualization, AI & Machine Learning"
Operations Manager,Take Command Health,"Seattle, WA",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Lead and oversee customer success initiatives., Enhance operational efficiencies using data analytics.","Predictive Analytics, CX Strategy, Data Visualization, Team Leadership, Customer Success","8+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Data Visualization, CRM Platforms (Salesforce, Zendesk), KPI Management"
Customer Experience Operations Manager,Fort Health,"Austin, TX",Mentor and train teams in customer success best practices. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Mentor and train teams in customer success best practices., Develop and implement AI-driven customer engagement strategies.","Team Leadership, Process Improvement, Operational Efficiency, AI & Machine Learning, Data Visualization","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, Predictive Analytics, Operational Efficiency"
Senior Customer Success Manager,Medix Infusion,"Seattle, WA",Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies., Develop strategic roadmaps for customer experience improvement.","Data Visualization, CRM Platforms (Salesforce, Zendesk), CX Strategy, KPI Management, Process Improvement","10+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), CX Strategy, Predictive Analytics"
Infusion Customer Service Manager,Stride Care,"Chicago, IL",Oversee call center operations and optimize support channels. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Develop strategic roadmaps for customer experience improvement., Implement automation tools for workflow optimization.","Data Visualization, Team Leadership, CX Strategy, KPI Management, Process Improvement","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, Customer Success, CRM Platforms (Salesforce, Zendesk)"
Director of Customer Support,Stride Care,"Austin, TX",Implement automation tools for workflow optimization. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Develop and implement AI-driven customer engagement strategies., Implement automation tools for workflow optimization.","Customer Success, Data Visualization, Team Leadership, KPI Management, Predictive Analytics","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, KPI Management, Operational Efficiency"
Director of Call Center Operations,Signify Health,"Dallas, TX",Mentor and train teams in customer success best practices. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Develop and implement AI-driven customer engagement strategies., Mentor and train teams in customer success best practices.","Data Visualization, Process Improvement, KPI Management, Predictive Analytics, AI & Machine Learning","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Process Improvement, AI & Machine Learning"
Customer Experience Manager,Protect AI,"Seattle, WA",Mentor and train teams in customer success best practices. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Oversee call center operations and optimize support channels., Collaborate with cross-functional teams to improve customer experience.","Team Leadership, CX Strategy, CRM Platforms (Salesforce, Zendesk), KPI Management, Customer Success","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), CX Strategy, Data Visualization"
Customer Experience Operations Manager,HappyCo,"New York, NY",Develop strategic roadmaps for customer experience improvement. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization.","Predictive Analytics, Operational Efficiency, CRM Platforms (Salesforce, Zendesk), Customer Success, Team Leadership","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, Predictive Analytics, Customer Success"
Senior Customer Success Manager,Behavioral Health Group,"Dallas, TX",Collaborate with cross-functional teams to improve customer experience. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Oversee call center operations and optimize support channels., Implement automation tools for workflow optimization.","Customer Success, AI & Machine Learning, CRM Platforms (Salesforce, Zendesk), Team Leadership, Predictive Analytics","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, CRM Platforms (Salesforce, Zendesk), Predictive Analytics"
Call Center Director,HappyCo,"Dallas, TX",Oversee call center operations and optimize support channels. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Drive customer satisfaction and retention efforts., Implement automation tools for workflow optimization.","Process Improvement, Data Visualization, Predictive Analytics, KPI Management, AI & Machine Learning","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Process Improvement, Operational Efficiency"
Customer Experience Manager,Behavioral Health Group,Remote,Develop strategic roadmaps for customer experience improvement. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Enhance operational efficiencies using data analytics., Develop and implement AI-driven customer engagement strategies.","AI & Machine Learning, Data Visualization, KPI Management, Operational Efficiency, Team Leadership","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Predictive Analytics, CX Strategy"
Director of CX Operations,OrthoTexas Physicians & Surgeons,"Chicago, IL",Collaborate with cross-functional teams to improve customer experience. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies.","Predictive Analytics, CX Strategy, KPI Management, AI & Machine Learning, CRM Platforms (Salesforce, Zendesk)","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, CRM Platforms (Salesforce, Zendesk), CX Strategy"
Senior AI Solutions Partner,Matheson,Remote,Develop and implement AI-driven customer engagement strategies. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Utilize machine learning and predictive analytics to enhance customer insights., Collaborate with cross-functional teams to improve customer experience.","Operational Efficiency, CRM Platforms (Salesforce, Zendesk), AI & Machine Learning, CX Strategy, Process Improvement","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), KPI Management, AI & Machine Learning"
Senior AI Solutions Partner,OrthoTexas Physicians & Surgeons,"Dallas, TX",Develop and implement AI-driven customer engagement strategies. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Collaborate with cross-functional teams to improve customer experience., Develop strategic roadmaps for customer experience improvement.","Process Improvement, Data Visualization, CRM Platforms (Salesforce, Zendesk), Operational Efficiency, CX Strategy","10+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, CX Strategy, Process Improvement"
Director of Call Center Operations,Stride Care,"Seattle, WA",Lead and oversee customer success initiatives. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Drive customer satisfaction and retention efforts., Implement automation tools for workflow optimization.","Team Leadership, CX Strategy, Predictive Analytics, Process Improvement, AI & Machine Learning","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, CRM Platforms (Salesforce, Zendesk), KPI Management"
Customer Success Manager,Take Command Health,"Austin, TX",Drive customer satisfaction and retention efforts. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Lead and oversee customer success initiatives., Drive customer satisfaction and retention efforts.","Predictive Analytics, Data Visualization, KPI Management, Process Improvement, Operational Efficiency","10+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, Team Leadership, Predictive Analytics"
Operations Manager,Take Command Health,"Seattle, WA","Collaborate with cross-functional teams to improve customer experience. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Drive customer satisfaction and retention efforts., Develop strategic roadmaps for customer experience improvement., Develop and implement AI-driven customer engagement strategies.","CX Strategy, Predictive Analytics, AI & Machine Learning, Customer Success, KPI Management","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Predictive Analytics, Team Leadership"
Data Scientist - AI Department,Matheson,"Seattle, WA",Mentor and train teams in customer success best practices. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Collaborate with cross-functional teams to improve customer experience., Enhance operational efficiencies using data analytics.","Operational Efficiency, Customer Success, Team Leadership, CX Strategy, CRM Platforms (Salesforce, Zendesk)","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Operational Efficiency, Data Visualization"
Customer Experience Operations Manager,CommandLink,"Austin, TX",Drive customer satisfaction and retention efforts. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Oversee call center operations and optimize support channels., Lead and oversee customer success initiatives.","CRM Platforms (Salesforce, Zendesk), Process Improvement, Operational Efficiency, Customer Success, AI & Machine Learning","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, AI & Machine Learning, KPI Management"
Customer Success Manager,Craftable,"Austin, TX",Drive customer satisfaction and retention efforts. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Oversee call center operations and optimize support channels., Utilize machine learning and predictive analytics to enhance customer insights.","Team Leadership, KPI Management, CX Strategy, Customer Success, AI & Machine Learning","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Data Visualization, Team Leadership"
Call Center Director,Stride Care,Remote,"Utilize machine learning and predictive analytics to enhance customer insights. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Mentor and train teams in customer success best practices., Collaborate with cross-functional teams to improve customer experience., Lead and oversee customer success initiatives.","Customer Success, CX Strategy, Data Visualization, AI & Machine Learning, KPI Management","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, Data Visualization, Operational Efficiency"
Customer Success Manager,Craftable,"Chicago, IL",Develop and implement AI-driven customer engagement strategies. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Drive customer satisfaction and retention efforts., Enhance operational efficiencies using data analytics.","AI & Machine Learning, Customer Success, Team Leadership, Operational Efficiency, CRM Platforms (Salesforce, Zendesk)","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Process Improvement, Customer Success"
Operations Manager,Medix Infusion,"Seattle, WA",Oversee call center operations and optimize support channels. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Lead and oversee customer success initiatives., Develop and implement AI-driven customer engagement strategies.","Predictive Analytics, Operational Efficiency, AI & Machine Learning, KPI Management, Customer Success","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Process Improvement, KPI Management"
Senior Customer Success Manager,CommandLink,Remote,Drive customer satisfaction and retention efforts. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Mentor and train teams in customer success best practices., Develop strategic roadmaps for customer experience improvement.","Operational Efficiency, KPI Management, CRM Platforms (Salesforce, Zendesk), Team Leadership, Predictive Analytics","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Predictive Analytics, Process Improvement"
Patient Access Manager,"Vizient, Inc.","Seattle, WA",Develop and implement AI-driven customer engagement strategies. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Mentor and train teams in customer success best practices., Develop and implement AI-driven customer engagement strategies.","Process Improvement, Customer Success, Operational Efficiency, KPI Management, Team Leadership","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Data Visualization, CX Strategy, Predictive Analytics"
Customer Success Manager,CSC Serviceworks,"San Francisco, CA",Collaborate with cross-functional teams to improve customer experience. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Enhance operational efficiencies using data analytics., Implement automation tools for workflow optimization.","Predictive Analytics, Customer Success, CRM Platforms (Salesforce, Zendesk), Operational Efficiency, Team Leadership","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Process Improvement, AI & Machine Learning"
Call Center Director,OrthoTexas Physicians & Surgeons,Remote,"Enhance operational efficiencies using data analytics. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Mentor and train teams in customer success best practices., Develop strategic roadmaps for customer experience improvement., Develop and implement AI-driven customer engagement strategies.","Data Visualization, CX Strategy, Customer Success, Process Improvement, Operational Efficiency","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Data Visualization, AI & Machine Learning, CRM Platforms (Salesforce, Zendesk)"
Operations Manager,MTM LLC,"Seattle, WA",Implement automation tools for workflow optimization. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Utilize machine learning and predictive analytics to enhance customer insights., Drive customer satisfaction and retention efforts.","CX Strategy, CRM Platforms (Salesforce, Zendesk), Operational Efficiency, KPI Management, Predictive Analytics","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Team Leadership, Process Improvement"
Senior AI Solutions Partner,CSC Serviceworks,"Seattle, WA",Oversee call center operations and optimize support channels. This role requires expertise in AI & Machine Learning and experience leading high-performing teams in a fast-paced environment.,"Develop strategic roadmaps for customer experience improvement., Utilize machine learning and predictive analytics to enhance customer insights., Enhance operational efficiencies using data analytics.","AI & Machine Learning, Customer Success, Predictive Analytics, Team Leadership, Operational Efficiency","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Customer Success, CX Strategy"
Operations Manager,Craftable,"Austin, TX",Mentor and train teams in customer success best practices. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization., Lead and oversee customer success initiatives.","Operational Efficiency, Predictive Analytics, CRM Platforms (Salesforce, Zendesk), KPI Management, CX Strategy","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, Data Visualization, CX Strategy"
Infusion Customer Service Manager,Craftable,"Austin, TX",Implement automation tools for workflow optimization. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Develop and implement AI-driven customer engagement strategies., Utilize machine learning and predictive analytics to enhance customer insights.","KPI Management, Predictive Analytics, Data Visualization, CX Strategy, AI & Machine Learning","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Data Visualization, AI & Machine Learning, Customer Success"
Operations Manager,CommandLink,"Dallas, TX",Drive customer satisfaction and retention efforts. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Collaborate with cross-functional teams to improve customer experience., Drive customer satisfaction and retention efforts.","Predictive Analytics, Operational Efficiency, Team Leadership, CX Strategy, Data Visualization","5+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, CX Strategy, AI & Machine Learning"
Call Center Director,Stride Care,"Dallas, TX",Drive customer satisfaction and retention efforts. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Oversee call center operations and optimize support channels., Lead and oversee customer success initiatives.","Operational Efficiency, AI & Machine Learning, KPI Management, Data Visualization, Customer Success","10+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, CRM Platforms (Salesforce, Zendesk), Operational Efficiency"
Infusion Customer Service Manager,HappyCo,"New York, NY",Implement automation tools for workflow optimization. This role requires expertise in Process Improvement and experience leading high-performing teams in a fast-paced environment.,"Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization., Develop and implement AI-driven customer engagement strategies.","CRM Platforms (Salesforce, Zendesk), KPI Management, Predictive Analytics, Customer Success, CX Strategy","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, AI & Machine Learning, Data Visualization"
Senior AI Solutions Partner,Craftable,"San Francisco, CA","Lead and oversee customer success initiatives. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Utilize machine learning and predictive analytics to enhance customer insights., Implement automation tools for workflow optimization., Drive customer satisfaction and retention efforts.","Process Improvement, CRM Platforms (Salesforce, Zendesk), Predictive Analytics, Customer Success, CX Strategy","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, CRM Platforms (Salesforce, Zendesk), Predictive Analytics"
Call Center Director,OrthoTexas Physicians & Surgeons,"Seattle, WA",Implement automation tools for workflow optimization. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Implement automation tools for workflow optimization., Utilize machine learning and predictive analytics to enhance customer insights.","KPI Management, Operational Efficiency, CRM Platforms (Salesforce, Zendesk), Data Visualization, Predictive Analytics","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, Operational Efficiency, Predictive Analytics"
"VP, Customer Success",Fort Health,Remote,Enhance operational efficiencies using data analytics. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Drive customer satisfaction and retention efforts., Implement automation tools for workflow optimization.","Predictive Analytics, AI & Machine Learning, Data Visualization, Customer Success, Team Leadership","6+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, Predictive Analytics, CX Strategy"
"VP, Customer Success",Matheson,"Dallas, TX",Drive customer satisfaction and retention efforts. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Enhance operational efficiencies using data analytics., Drive customer satisfaction and retention efforts., Mentor and train teams in customer success best practices.","Team Leadership, AI & Machine Learning, Process Improvement, CRM Platforms (Salesforce, Zendesk), CX Strategy","8+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, KPI Management, CX Strategy"
Senior Customer Success Manager,Fort Health,Remote,Lead and oversee customer success initiatives. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Lead and oversee customer success initiatives., Enhance operational efficiencies using data analytics.","Customer Success, Operational Efficiency, Predictive Analytics, Process Improvement, Team Leadership","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CX Strategy, Data Visualization, Customer Success"
Director of Customer Support,Protect AI,"San Francisco, CA",Develop and implement AI-driven customer engagement strategies. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Implement automation tools for workflow optimization., Develop strategic roadmaps for customer experience improvement., Drive customer satisfaction and retention efforts.","Operational Efficiency, Team Leadership, Customer Success, Process Improvement, Predictive Analytics","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, CX Strategy, Team Leadership"
Customer Experience Operations Manager,MongoDB,"Austin, TX",Implement automation tools for workflow optimization. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Lead and oversee customer success initiatives., Implement automation tools for workflow optimization.","CRM Platforms (Salesforce, Zendesk), CX Strategy, KPI Management, Data Visualization, Process Improvement","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","CRM Platforms (Salesforce, Zendesk), Predictive Analytics, Customer Success"
Data Scientist - AI Department,Fort Health,"Chicago, IL",Implement automation tools for workflow optimization. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Develop and implement AI-driven customer engagement strategies., Enhance operational efficiencies using data analytics., Lead and oversee customer success initiatives.","KPI Management, CX Strategy, AI & Machine Learning, Process Improvement, CRM Platforms (Salesforce, Zendesk)","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, Operational Efficiency, Predictive Analytics"
