Job Title,Industry,Responsibilities,Qualifications,Location,Job Type,Salary Range
Customer Insights Analyst,Tech,Implement predictive analytics to enhance customer insights.; Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.,Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Understanding of machine learning models applied to customer success.,"San Francisco, CA",Contract,$119k - $208k
AI Strategist,Tech,"Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.; Collaborate cross-functionally with sales, marketing, and product teams.",Proven expertise in AI-driven automation and predictive analytics.; Understanding of machine learning models applied to customer success.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Seattle, WA",Full-Time,$139k - $229k
AI Strategist,Hospitality,Manage and mentor large customer support teams across multiple locations.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.,Ability to drive customer satisfaction metrics and VoC programs.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Excellent stakeholder management skills across cross-functional teams.,"Los Angeles, CA",Full-Time,$92k - $228k
Customer Support Transformation Lead,E-commerce,"Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Boston, MA",Remote,$89k - $196k
Customer Insights Analyst,SaaS,"Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.","Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.","Seattle, WA",Contract,$118k - $170k
AI Implementation Consultant,Healthcare,"Streamline customer service operations, reducing costs while improving CSAT.; Lead customer experience initiatives to improve engagement and retention.; Implement predictive analytics to enhance customer insights.","10+ years of experience in customer experience, AI, or operations leadership.; Ability to drive customer satisfaction metrics and VoC programs.; Strong leadership skills with experience managing 50+ team members.",Remote,Contract,$101k - $169k
Vice President of Customer Success,Retail,"Streamline customer service operations, reducing costs while improving CSAT.; Develop strategies to optimize customer journey and retention metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.","10+ years of experience in customer experience, AI, or operations leadership.; Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.",Remote,Part-Time,$119k - $247k
AI Strategist,Finance,"Streamline customer service operations, reducing costs while improving CSAT.; Develop strategies to optimize customer journey and retention metrics.; Collaborate cross-functionally with sales, marketing, and product teams.","Experience in implementing workflow automation for large-scale operations.; 10+ years of experience in customer experience, AI, or operations leadership.; Understanding of machine learning models applied to customer success.","Chicago, IL",Remote,$140k - $193k
Director of Customer Experience,Finance,"Streamline customer service operations, reducing costs while improving CSAT.; Drive innovation in customer success strategies using AI and ML technologies.; Manage and mentor large customer support teams across multiple locations.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Strong leadership skills with experience managing 50+ team members.","Chicago, IL",Part-Time,$121k - $188k
Vice President of Customer Success,Tech,"Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.",Remote,Remote,$91k - $158k
Customer Experience Data Scientist,Consulting,Drive innovation in customer success strategies using AI and ML technologies.; Lead customer experience initiatives to improve engagement and retention.; Develop AI-driven automation strategies to optimize service workflows.,Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.; Experience in implementing workflow automation for large-scale operations.,"Seattle, WA",Remote,$82k - $245k
Director of Customer Experience,Tech,Implement predictive analytics to enhance customer insights.; Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.,Ability to drive customer satisfaction metrics and VoC programs.; Strong leadership skills with experience managing 50+ team members.; Understanding of machine learning models applied to customer success.,"Denver, CO",Full-Time,$90k - $235k
Senior CX Manager,SaaS,"Streamline customer service operations, reducing costs while improving CSAT.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Lead customer experience initiatives to improve engagement and retention.","Data-driven decision-making mindset with expertise in Power BI or Tableau.; 10+ years of experience in customer experience, AI, or operations leadership.; Experience in implementing workflow automation for large-scale operations.","Denver, CO",Remote,$108k - $150k
Customer Support Transformation Lead,SaaS,Implement predictive analytics to enhance customer insights.; Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.,Understanding of machine learning models applied to customer success.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Proven expertise in AI-driven automation and predictive analytics.,"San Francisco, CA",Remote,$92k - $169k
Vice President of Customer Success,Education,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.",Track record of reducing operational costs while improving CX efficiency.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Strong leadership skills with experience managing 50+ team members.,"Denver, CO",Remote,$150k - $172k
Customer Support Transformation Lead,SaaS,"Integrate AI-based chatbots and automation solutions for enhanced support.; Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.","Excellent stakeholder management skills across cross-functional teams.; 10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Boston, MA",Full-Time,$140k - $221k
AI Implementation Consultant,Hospitality,Drive innovation in customer success strategies using AI and ML technologies.; Lead customer experience initiatives to improve engagement and retention.; Integrate AI-based chatbots and automation solutions for enhanced support.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Boston, MA",Part-Time,$128k - $186k
Customer Experience Data Scientist,Tech,Develop strategies to optimize customer journey and retention metrics.; Manage and mentor large customer support teams across multiple locations.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.,Remote,Contract,$85k - $160k
Senior CX Manager,Healthcare,"Drive innovation in customer success strategies using AI and ML technologies.; Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.",Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.,Remote,Part-Time,$140k - $163k
Customer Support Transformation Lead,E-commerce,"Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.; Drive innovation in customer success strategies using AI and ML technologies.",Proven expertise in AI-driven automation and predictive analytics.; Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.,"Seattle, WA",Remote,$129k - $206k
Customer Insights Analyst,E-commerce,"Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Streamline customer service operations, reducing costs while improving CSAT.","Ability to drive customer satisfaction metrics and VoC programs.; Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Los Angeles, CA",Contract,$110k - $219k
AI Strategist,SaaS,"Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.; Collaborate cross-functionally with sales, marketing, and product teams.","Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; 10+ years of experience in customer experience, AI, or operations leadership.","Austin, TX",Full-Time,$90k - $183k
AI Strategist,Consulting,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.,"10+ years of experience in customer experience, AI, or operations leadership.; Proven expertise in AI-driven automation and predictive analytics.; Understanding of machine learning models applied to customer success.",Remote,Full-Time,$116k - $172k
Customer Service Operations Manager,Retail,"Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.",Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.; Excellent stakeholder management skills across cross-functional teams.,"Austin, TX",Full-Time,$123k - $151k
Customer Service Operations Manager,Retail,Develop AI-driven automation strategies to optimize service workflows.; Manage and mentor large customer support teams across multiple locations.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.; Understanding of machine learning models applied to customer success.,"Seattle, WA",Remote,$82k - $201k
AI Strategist,Tech,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Drive innovation in customer success strategies using AI and ML technologies.; Lead customer experience initiatives to improve engagement and retention.,"Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Boston, MA",Remote,$137k - $219k
Customer Support Transformation Lead,Education,Develop AI-driven automation strategies to optimize service workflows.; Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.,"Track record of reducing operational costs while improving CX efficiency.; Excellent stakeholder management skills across cross-functional teams.; 10+ years of experience in customer experience, AI, or operations leadership.","Boston, MA",Part-Time,$136k - $156k
Head of Member Services,Education,"Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.",Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.; Understanding of machine learning models applied to customer success.,"Chicago, IL",Full-Time,$90k - $186k
Customer Support Transformation Lead,Consulting,"Streamline customer service operations, reducing costs while improving CSAT.; Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.",Understanding of machine learning models applied to customer success.; Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Seattle, WA",Full-Time,$110k - $231k
AI Implementation Consultant,SaaS,"Manage and mentor large customer support teams across multiple locations.; Streamline customer service operations, reducing costs while improving CSAT.; Integrate AI-based chatbots and automation solutions for enhanced support.",Strong leadership skills with experience managing 50+ team members.; Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.,"Denver, CO",Contract,$149k - $196k
Head of Member Services,E-commerce,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.; Drive innovation in customer success strategies using AI and ML technologies.,Understanding of machine learning models applied to customer success.; Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.,"Chicago, IL",Full-Time,$110k - $150k
Vice President of Customer Success,Education,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.; Streamline customer service operations, reducing costs while improving CSAT.","Understanding of machine learning models applied to customer success.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Excellent stakeholder management skills across cross-functional teams.","New York, NY",Part-Time,$142k - $159k
Customer Experience Data Scientist,Telecommunications,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Implement predictive analytics to enhance customer insights.; Lead customer experience initiatives to improve engagement and retention.,Proven expertise in AI-driven automation and predictive analytics.; Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.,"Denver, CO",Full-Time,$142k - $227k
AI Implementation Consultant,E-commerce,"Integrate AI-based chatbots and automation solutions for enhanced support.; Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.","Data-driven decision-making mindset with expertise in Power BI or Tableau.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Excellent stakeholder management skills across cross-functional teams.","New York, NY",Contract,$96k - $185k
Customer Insights Analyst,Telecommunications,"Integrate AI-based chatbots and automation solutions for enhanced support.; Streamline customer service operations, reducing costs while improving CSAT.; Collaborate cross-functionally with sales, marketing, and product teams.","Understanding of machine learning models applied to customer success.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Seattle, WA",Remote,$124k - $209k
AI Implementation Consultant,Consulting,Drive innovation in customer success strategies using AI and ML technologies.; Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.,Excellent stakeholder management skills across cross-functional teams.; Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.,"Chicago, IL",Full-Time,$116k - $192k
Customer Service Operations Manager,Education,Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.; Implement predictive analytics to enhance customer insights.,"10+ years of experience in customer experience, AI, or operations leadership.; Proven expertise in AI-driven automation and predictive analytics.; Strong leadership skills with experience managing 50+ team members.","Seattle, WA",Full-Time,$129k - $167k
Director of Customer Experience,Tech,Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.,"Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.","Boston, MA",Contract,$136k - $208k
Vice President of Customer Success,Healthcare,"Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.; Develop AI-driven automation strategies to optimize service workflows.",Experience in implementing workflow automation for large-scale operations.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Understanding of machine learning models applied to customer success.,"Denver, CO",Remote,$104k - $228k
Senior CX Manager,Retail,"Streamline customer service operations, reducing costs while improving CSAT.; Manage and mentor large customer support teams across multiple locations.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.","Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","San Francisco, CA",Full-Time,$90k - $182k
Director of Customer Experience,Retail,"Streamline customer service operations, reducing costs while improving CSAT.; Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.","Experience in implementing workflow automation for large-scale operations.; Excellent stakeholder management skills across cross-functional teams.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Dallas, TX",Remote,$141k - $235k
AI Implementation Consultant,Telecommunications,"Integrate AI-based chatbots and automation solutions for enhanced support.; Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.","10+ years of experience in customer experience, AI, or operations leadership.; Proven expertise in AI-driven automation and predictive analytics.; Experience in implementing workflow automation for large-scale operations.","Dallas, TX",Full-Time,$124k - $170k
AI Implementation Consultant,Healthcare,"Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.; Drive innovation in customer success strategies using AI and ML technologies.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; Strong leadership skills with experience managing 50+ team members.",Remote,Remote,$104k - $213k
Head of Member Services,E-commerce,"Implement predictive analytics to enhance customer insights.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.",Excellent stakeholder management skills across cross-functional teams.; Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.,"Dallas, TX",Remote,$114k - $181k
Customer Service Operations Manager,Healthcare,Lead customer experience initiatives to improve engagement and retention.; Develop strategies to optimize customer journey and retention metrics.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Data-driven decision-making mindset with expertise in Power BI or Tableau.; 10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.","Seattle, WA",Contract,$99k - $158k
Customer Service Operations Manager,Consulting,"Streamline customer service operations, reducing costs while improving CSAT.; Integrate AI-based chatbots and automation solutions for enhanced support.; Manage and mentor large customer support teams across multiple locations.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.","Austin, TX",Part-Time,$144k - $238k
Customer Experience Data Scientist,Tech,Lead customer experience initiatives to improve engagement and retention.; Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.,Ability to drive customer satisfaction metrics and VoC programs.; Proven expertise in AI-driven automation and predictive analytics.; Excellent stakeholder management skills across cross-functional teams.,"Dallas, TX",Full-Time,$94k - $155k
Customer Insights Analyst,Retail,Manage and mentor large customer support teams across multiple locations.; Lead customer experience initiatives to improve engagement and retention.; Implement predictive analytics to enhance customer insights.,Ability to drive customer satisfaction metrics and VoC programs.; Strong leadership skills with experience managing 50+ team members.; Experience in implementing workflow automation for large-scale operations.,"Los Angeles, CA",Full-Time,$90k - $207k
Vice President of Customer Success,Telecommunications,Integrate AI-based chatbots and automation solutions for enhanced support.; Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.,Strong leadership skills with experience managing 50+ team members.; Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.,"Boston, MA",Remote,$91k - $186k
Senior CX Manager,SaaS,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.,"Excellent stakeholder management skills across cross-functional teams.; 10+ years of experience in customer experience, AI, or operations leadership.; Experience in implementing workflow automation for large-scale operations.","Denver, CO",Part-Time,$95k - $199k
Vice President of Customer Success,Tech,"Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.; Collaborate cross-functionally with sales, marketing, and product teams.",Experience in implementing workflow automation for large-scale operations.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Excellent stakeholder management skills across cross-functional teams.,"Seattle, WA",Full-Time,$103k - $243k
Customer Experience Data Scientist,SaaS,"Streamline customer service operations, reducing costs while improving CSAT.; Develop strategies to optimize customer journey and retention metrics.; Lead customer experience initiatives to improve engagement and retention.","Ability to drive customer satisfaction metrics and VoC programs.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Understanding of machine learning models applied to customer success.","Chicago, IL",Full-Time,$100k - $221k
Head of Member Services,Retail,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.","Los Angeles, CA",Part-Time,$97k - $206k
Customer Experience Data Scientist,Consulting,Drive innovation in customer success strategies using AI and ML technologies.; Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,Understanding of machine learning models applied to customer success.; Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.,"Austin, TX",Contract,$91k - $233k
Customer Experience Data Scientist,Telecommunications,Drive innovation in customer success strategies using AI and ML technologies.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Excellent stakeholder management skills across cross-functional teams.; Experience in implementing workflow automation for large-scale operations.","Chicago, IL",Remote,$107k - $187k
Customer Experience Data Scientist,Tech,Develop strategies to optimize customer journey and retention metrics.; Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.","Dallas, TX",Full-Time,$91k - $187k
Customer Support Transformation Lead,Healthcare,"Streamline customer service operations, reducing costs while improving CSAT.; Lead customer experience initiatives to improve engagement and retention.; Integrate AI-based chatbots and automation solutions for enhanced support.","Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.","San Francisco, CA",Full-Time,$103k - $190k
Head of Member Services,Finance,Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.; Implement predictive analytics to enhance customer insights.,"10+ years of experience in customer experience, AI, or operations leadership.; Ability to drive customer satisfaction metrics and VoC programs.; Proven expertise in AI-driven automation and predictive analytics.","San Francisco, CA",Part-Time,$129k - $226k
Head of Member Services,Healthcare,Manage and mentor large customer support teams across multiple locations.; Lead customer experience initiatives to improve engagement and retention.; Implement predictive analytics to enhance customer insights.,"Strong leadership skills with experience managing 50+ team members.; 10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Denver, CO",Remote,$126k - $162k
Director of Customer Experience,Telecommunications,"Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.; Streamline customer service operations, reducing costs while improving CSAT.","Data-driven decision-making mindset with expertise in Power BI or Tableau.; Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.",Remote,Contract,$132k - $194k
Director of Customer Experience,Consulting,"Integrate AI-based chatbots and automation solutions for enhanced support.; Collaborate cross-functionally with sales, marketing, and product teams.; Lead customer experience initiatives to improve engagement and retention.",Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.,"Seattle, WA",Part-Time,$133k - $216k
AI Strategist,Retail,"Develop strategies to optimize customer journey and retention metrics.; Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.",Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Chicago, IL",Remote,$149k - $202k
Director of Customer Experience,Retail,Lead customer experience initiatives to improve engagement and retention.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.,Proven expertise in AI-driven automation and predictive analytics.; Excellent stakeholder management skills across cross-functional teams.; Strong leadership skills with experience managing 50+ team members.,"Los Angeles, CA",Full-Time,$98k - $178k
Director of Customer Experience,Retail,Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.; Manage and mentor large customer support teams across multiple locations.,Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.,"Los Angeles, CA",Part-Time,$88k - $183k
Senior CX Manager,Finance,Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Excellent stakeholder management skills across cross-functional teams.; Strong leadership skills with experience managing 50+ team members.","Dallas, TX",Full-Time,$112k - $173k
Customer Support Transformation Lead,Telecommunications,Drive innovation in customer success strategies using AI and ML technologies.; Manage and mentor large customer support teams across multiple locations.; Develop AI-driven automation strategies to optimize service workflows.,"10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","New York, NY",Part-Time,$136k - $250k
Vice President of Customer Success,Retail,"Develop strategies to optimize customer journey and retention metrics.; Lead customer experience initiatives to improve engagement and retention.; Streamline customer service operations, reducing costs while improving CSAT.","Ability to drive customer satisfaction metrics and VoC programs.; Understanding of machine learning models applied to customer success.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.",Remote,Remote,$147k - $230k
Senior CX Manager,Finance,"Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.",Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.; Excellent stakeholder management skills across cross-functional teams.,"Boston, MA",Remote,$135k - $172k
Vice President of Customer Success,Hospitality,"Drive innovation in customer success strategies using AI and ML technologies.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Collaborate cross-functionally with sales, marketing, and product teams.",Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.,"Denver, CO",Contract,$112k - $159k
AI Implementation Consultant,Telecommunications,"Streamline customer service operations, reducing costs while improving CSAT.; Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.","Excellent stakeholder management skills across cross-functional teams.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Track record of reducing operational costs while improving CX efficiency.","Seattle, WA",Full-Time,$137k - $247k
AI Strategist,E-commerce,"Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.",Understanding of machine learning models applied to customer success.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.,"Chicago, IL",Remote,$128k - $219k
Vice President of Customer Success,Tech,Lead customer experience initiatives to improve engagement and retention.; Develop strategies to optimize customer journey and retention metrics.; Drive innovation in customer success strategies using AI and ML technologies.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Excellent stakeholder management skills across cross-functional teams.; Strong leadership skills with experience managing 50+ team members.","Los Angeles, CA",Part-Time,$118k - $214k
AI Strategist,Telecommunications,"Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.; Manage and mentor large customer support teams across multiple locations.",Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Strong leadership skills with experience managing 50+ team members.,"Austin, TX",Contract,$99k - $224k
AI Implementation Consultant,SaaS,Lead customer experience initiatives to improve engagement and retention.; Develop strategies to optimize customer journey and retention metrics.; Manage and mentor large customer support teams across multiple locations.,"Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.; Track record of reducing operational costs while improving CX efficiency.","Denver, CO",Full-Time,$111k - $160k
Customer Service Operations Manager,Healthcare,Drive innovation in customer success strategies using AI and ML technologies.; Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.,Ability to drive customer satisfaction metrics and VoC programs.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Proven expertise in AI-driven automation and predictive analytics.,Remote,Remote,$143k - $215k
Customer Insights Analyst,Healthcare,"Drive innovation in customer success strategies using AI and ML technologies.; Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Strong leadership skills with experience managing 50+ team members.; Understanding of machine learning models applied to customer success.,"Chicago, IL",Full-Time,$125k - $213k
Customer Support Transformation Lead,Education,Develop strategies to optimize customer journey and retention metrics.; Lead customer experience initiatives to improve engagement and retention.; Drive innovation in customer success strategies using AI and ML technologies.,Excellent stakeholder management skills across cross-functional teams.; Understanding of machine learning models applied to customer success.; Strong leadership skills with experience managing 50+ team members.,"Dallas, TX",Contract,$141k - $233k
